"","Neighborhood","FIPS","Adjusted.case_rate","Adjusted.death_rate","Adjusted.testing_rate","mean.Socioeconomic","mean.HouseholdComposition.and.Disability","mean.Minority.Status.and.Language","mean.Housing.Type.and.Transportation","Diabetes_Percent","Population","Latin","White","Black","Native.American","Asian","Other.population","Longitude","Latitude","Area","Risk"
"71","South Park",6037228500,1249,32,6001,0.919,0.628,0.985,0.659,7.645,38024,0.854,0.008,0.129,0,0.003,0.001,-118.2695985,34.003629,1.562174869632,3
"72","South Pasadena",6037480703,447,59,6026,0.305,0.269,0.47,0.296,8.933,31504,0.486,0.286,0.095,0,0.119,0.001,-118.1642505,34.1072095,0.850761857328,3
"73","Studio City",6037143200,374,28,8531,0.256,0.138,0.146,0.377,4.46,38836,0.109,0.74,0.052,0.001,0.082,0.001,-118.3710665,34.149998,6.021870345058,3
"74","Sun Valley",6037102105,619,14,5679,0.736,0.477,0.775,0.669,9.459,75069,0.729,0.162,0.021,0,0.078,0,-118.3480495,34.210852,10.488280520366,2
"75","Sunland",6037103101,670,56,6877,0.416,0.413,0.401,0.325,8,13564,0.255,0.604,0.013,0.001,0.113,0.001,-118.30714,34.274431,2.228421669976,3
"76","Sylmar",6037106010,1087,71,7899,0.596,0.694,0.765,0.508,8.933,78893,0.778,0.127,0.033,0,0.052,0,-118.444538,34.3231715,12.724411488976,3
"77","Tarzana",6037133100,654,22,8379,0.334,0.565,0.341,0.396,8.639,37428,0.173,0.673,0.045,0.001,0.093,0.002,-118.5447525,34.185206,9.269148397388,3
"78","Toluca Lake",6037125502,220,0,8095,0.38,0.174,0.244,0.38,5.718,9724,0.138,0.704,0.06,0.002,0.078,0.005,-118.3658595,34.1564755,1.262294079456,1
"79","Tujunga",6037101110,428,33,5718,0.47,0.597,0.397,0.498,8.2,25870,0.256,0.599,0.018,0.001,0.113,0.002,-118.293602,34.2595555,10.769511811738,3
"80","University Park",6037221710,1216,3,5041,0.84,0.179,0.595,0.94,7.3,23493,0.361,0.299,0.064,0,0.262,0.001,-118.287757,34.034366,1.23828123777,1
"81","Valley Glen",6037123303,469,20,5749,0.641,0.446,0.594,0.694,8.113,60173,0.422,0.462,0.037,0,0.065,0.001,-118.411425,34.1975515,4.787798391292,3
"82","Valley Village",6037124000,813,43,8198,0.567,0.327,0.383,0.548,6.138,19533,0.205,0.645,0.061,0.001,0.068,0.003,-118.4048165,34.162959,1.770404311456,3
"83","Van Nuys",6037127102,891,45,6548,0.781,0.461,0.777,0.709,7.951,101560,0.64,0.22,0.053,0,0.074,0.001,-118.4443775,34.206446,8.673597259346,3
"84","Venice",6037273100,206,6,7689,0.212,0.121,0.19,0.401,4.63,36962,0.171,0.685,0.055,0,0.069,0,-118.460606,34.00358,3.127049364448,1
"85","Vermont Knolls",6037237710,1073,21,6893,0.814,0.606,0.895,0.703,8.933,25286,0.568,0.009,0.404,0,0.003,0.001,-118.28613,33.972693,1.398564147132,3
"86","Vermont Square",6037231500,1143,24,6839,0.882,0.71,0.95,0.766,10.112,43642,0.672,0.01,0.294,0,0.009,0.001,-118.310826,34.0072765,2.25347273994,3
"87","Vermont Vista",6037240300,1024,22,6179,0.871,0.815,0.906,0.727,12.008,25082,0.618,0.01,0.354,0.001,0.002,0.002,-118.2859575,33.9564355,1.652177948546,3
"88","Watts",6037242000,933,38,5949,0.975,0.743,0.932,0.75,10.481,36879,0.701,0.009,0.278,0,0.002,0.001,-118.250222,33.9392665,1.894057337976,3
"89","West Adams",6037218702,893,71,8826,0.757,0.479,0.867,0.655,12.4,24484,0.66,0.026,0.281,0,0.016,0.001,-118.335031,34.0327605,1.618972790444,3
"90","West Hills",6037113232,329,23,6682,0.255,0.414,0.305,0.259,7.469,44270,0.169,0.632,0.033,0,0.152,0.001,-118.61402,34.227417,9.316410757106,3
"91","West Hollywood",6037700501,393,7,8257,0.071,0.06,0.201,0.322,8.933,31504,0.486,0.286,0.095,0,0.119,0.001,-118.389563,34.087219,0.230758107422,1
"92","West Los Angeles",6037267100,223,11,8179,0.162,0.261,0.248,0.579,8.933,18306,0.069,0.712,0.025,0.001,0.18,0.003,-118.4245685,34.052737,1.625094051552,2
"93","Westchester",6037276000,192,16,6362,0.288,0.222,0.298,0.256,8.245,42761,0.173,0.519,0.149,0,0.134,0.002,-118.386834,33.9702295,6.057892889454,3
"94","Westlake",6037195802,1491,154,6493,0.833,0.476,0.923,0.886,8.456,107851,0.682,0.054,0.041,0,0.213,0,-118.2780525,34.0756415,2.782473792854,3
"95","Westwood",6037265100,157,9,6325,0.355,0.175,0.253,0.572,3.5,42141,0.073,0.645,0.021,0,0.248,0,-118.42787,34.073502,3.104067801204,2
"96","Wilmington",6037294110,564,8,4257,0.808,0.648,0.889,0.642,13.9,52840,0.9,0.042,0.025,0,0.019,0.002,-118.2592835,33.797961,6.525999865438,1
"97","Winnetka",6037113401,594,9,7649,0.599,0.401,0.694,0.748,9.2,54686,0.485,0.27,0.053,0,0.177,0.001,-118.562301,34.2279845,5.449297295342,2
"98","Woodland Hills",6037134905,238,12,7382,0.227,0.379,0.243,0.335,5.894,48672,0.101,0.717,0.05,0,0.116,0.001,-118.584201,34.1829585,11.951137600334,2
