"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"228","Unincorporated - Athens Village",36,735,823,2,41,38,405,8270,8670,4897
"229","Unincorporated - Athens-Westmont",260,613,616,8,19,22,2509,5912,5998,42442
"230","Unincorporated - Avocado Heights",33,487,482,1,15,14,200,2952,2898,6775
"231","Unincorporated - Azusa",75,471,476,2,13,17,611,3837,3755,15923
"232","Unincorporated - Bassett",119,803,794,4,27,26,627,4232,4153,14817
"233","Unincorporated - Bouquet Canyon",1,93,82,1,93,82,22,2050,2142,1073
"234","Unincorporated - Canyon Country",36,466,477,0,0,0,493,6379,6919,7728
"235","Unincorporated - Castaic",1045,3843,3412,1,4,5,1084,3987,4067,27191
"236","Unincorporated - Covina",63,375,364,0,0,0,694,4126,3942,16819
"237","Unincorporated - Covina (Charter Oak)",50,380,385,0,0,0,531,4040,3892,13144
"238","Unincorporated - Del Aire",16,364,344,1,23,25,261,5941,5527,4393
"239","Unincorporated - Del Rey",1,314,425,0,0,0,41,12893,20116,318
"240","Unincorporated - Del Sur",2,83,40,1,41,20,76,3147,3447,2415
"241","Unincorporated - Desert View Highlands",6,241,252,1,40,24,107,4292,4187,2493
"242","Unincorporated - Duarte",17,384,369,1,23,17,221,4991,5012,4428
"243","Unincorporated - East La Mirada",18,340,321,0,0,0,172,3250,3132,5292
"244","Unincorporated - East Los Angeles",1240,990,1010,43,34,42,6806,5433,5505,125269
"245","Unincorporated - East Pasadena",4,62,60,0,0,0,160,2499,2528,6403
"246","Unincorporated - East Rancho Dominguez",72,470,460,1,7,8,628,4102,4183,15308
"247","Unincorporated - East Whittier",12,226,226,0,0,0,166,3129,3095,5306
"248","Unincorporated - El Camino Village",44,501,508,2,23,16,437,4971,5007,8791
"249","Unincorporated - Elizabeth Lake",3,181,114,0,0,0,50,3010,3247,1661
"250","Unincorporated - Florence-Firestone",701,1083,1129,16,25,34,3313,5120,5212,64705
"251","Unincorporated - Glendora",3,455,749,0,0,0,27,4091,5025,660
"252","Unincorporated - Hacienda Heights",171,306,300,2,4,2,1516,2711,2647,55926
"253","Unincorporated - Hawthorne",6,239,219,0,0,0,96,3819,3705,2514
"254","Unincorporated - Hi Vista",1,91,202,0,0,0,18,1639,1990,1098
"255","Unincorporated - Kagel/Lopez Canyons",8,567,675,1,71,113,113,8003,8126,1412
"256","Unincorporated - La Crescenta-Montrose",33,167,174,1,5,3,940,4747,4843,19801
"257","Unincorporated - La Rambla",13,627,603,0,0,0,397,19133,16970,2075
"258","Unincorporated - La Verne",5,245,253,0,0,0,132,6471,5884,2040
"259","Unincorporated - Ladera Heights",20,283,182,1,14,7,719,10168,8584,7071
"260","Unincorporated - Lake Hughes",1,150,192,0,0,0,28,4192,4216,668
"261","Unincorporated - Lake Los Angeles",32,246,260,2,15,25,365,2809,2846,12994
"262","Unincorporated - Lake Manor",4,243,208,0,0,0,100,6086,5838,1643
"263","Unincorporated - Lennox",124,550,561,0,0,0,930,4126,4151,22542
"264","Unincorporated - Leona Valley",3,171,199,0,0,0,50,2856,2781,1751
"265","Unincorporated - Littlerock",16,398,389,0,0,0,168,4178,4042,4021
"266","Unincorporated - Littlerock/Juniper Hills",2,154,207,0,0,0,56,4318,3671,1297
"267","Unincorporated - Littlerock/Pearblossom",21,588,572,0,0,0,130,3642,3655,3569
"268","Unincorporated - Llano",1,114,109,0,0,0,22,2509,2006,877
"269","Unincorporated - Marina del Rey",15,159,123,1,11,13,541,5749,4720,9411
"270","Unincorporated - Monrovia",22,567,569,0,0,0,171,4406,4391,3881
"271","Unincorporated - Newhall",1,455,461,0,0,0,11,5000,4328,220
"272","Unincorporated - North Lancaster",6,501,464,0,0,0,40,3339,3392,1198
"273","Unincorporated - North Whittier",15,179,178,1,12,11,336,4019,3956,8360
"274","Unincorporated - Northeast San Gabriel",63,262,262,3,12,11,877,3649,3514,24036
"275","Unincorporated - Palmdale",4,475,537,0,0,0,28,3325,3598,842
"276","Unincorporated - Pearblossom/Llano",3,153,129,0,0,0,46,2352,2225,1956
"277","Unincorporated - Pellissier Village",1,162,195,0,0,0,19,3069,3206,619
"278","Unincorporated - Pomona",3,155,289,1,52,86,20,1032,2646,1938
"279","Unincorporated - Quartz Hill",46,356,311,9,70,51,450,3487,3314,12906
"280","Unincorporated - Rancho Dominguez",20,752,690,1,38,18,185,6952,6613,2661
"281","Unincorporated - Rosewood",8,622,783,0,0,0,81,6299,6347,1286
"282","Unincorporated - Rosewood/West Rancho Dominguez",28,833,892,0,0,0,205,6099,6252,3361
"283","Unincorporated - Rowland Heights",160,314,314,4,8,5,1315,2577,2404,51022
